feature,importance
PTRATIO MEDV,0.555142242106099
MEDV NOX_RM,0.28446391086468886
MEDV room_per_crime,0.1221066408292914
NOX MEDV,0.01724007760204194
PTRATIO LSTAT,0.009568519144096585
PTRATIO RM_LSTAT,0.005666034049057251
RM^2,0.00330730113599107
LSTAT.1,0.0008693981758686178
LSTAT is_outlier,0.0008272127321522325
LSTAT,0.0008086633607130787
