,MSE,RMSE,R2,MAPE,CV_MSE,CV_MSE_STD
Ridge Regression,1.2272424509213675,1.1078097539385396,0.976978942077142,0.03974027307410944,1.5220209301996703,0.32159678637250405
Gradient Boosting,1.117787761716988,1.0572548234541133,0.9790321327390284,0.0351963609913506,2.3403222865932625,0.9425340271399043
Neural Network,0.8938465312301431,0.9454345726860972,0.9832329033646562,0.03356709671200363,1.8957164506394615,0.5356701794999063
Stacking,0.8361882850957788,0.9144333136406279,0.9843144776069691,0.034002504206105094,1.4139805445969995,0.3859475285077372
